ID,CALL,CN,TYPE,PILOT
053E5E5C,D-KAXW,VH,ASW 22BLE,Helmut Bauer
06DD88DF,D-KBHS,MM,ASW 22BLE,Stephan Beck
22D00442,D-KDTM,MD,JS1 C,Jens Becker
06DDA524,D-KTEX,TEX,Nimbus 4M,Benno Beesten
XXXXXX,D-KFPI,EPI,Nimbus 4DM,Gerhard Bender
06DF02A3,D-KFJE,FJ,EB 29R,Sebastian Eder
06DDE296,D-KLFU,FU,EB 29D,Uwe Förster
06DF0935,D-KGYY,YY,Nimeta X,Bruno Gantenbrink
053ECC23,D-KUSA,VX,ASH 31Mi,Rolf Gertzmann
06DD9651,D-7064,QAX,ASH 25,Heiko Hertrich
06DD9A24,D-1763,DF,ASH 25,Julius Hoffelner
06DDD8BB,D-KONX,NY,ASW 22BLE,Norbert Kalisch
06DDA36B,D-KUNX,NX,EB 28,Ulrich Knauß
06DF1007,D-KBFO,FO,Nimbus 4t,Max Kollmar
06DF0EDE,D-KAVY,VY,JS1 C,Andreas Kühl
06DF084D,D-KHVG,TOY,ASG 29E,Thomas Kuhn
053E6B1D,D-KFTL,LY,ASH 25 EB28,Kai Lindenberg
22D0013C,D-KLMD,LM,ASH 25E,Olaf Merbt
3AA007,D-KPAM,AM,EB 29,Alexander Müller
06DF1407,D-KIRB,RB,EB 28,Peter Pollack
06DDAAFE,D-KUBR,ET,Nimbus 4,Carsten Portmann
06DD04AC,D-KBWI,W1,ASG 32Mi,Hans Jürgen Schmacht
06DF0DFC,D-KPJJ,JOY,ASG 29E,Jürgen Schuster
06DDC1D8,D-KAXC,I,Antares,Stefan Senger
053E747C,D-KJHS,HS,EB 29,Horst Singer
06DD9A0F,D-KSWR,WR,ASW 22BLE,Reinhard Spath
046B81BE,D-KAIM,IM,ASH 25E,Sebastian Tschorn
06DD96EC,D-KKUP,KV,ASW 22BLE,Kornelius Volosciuk
